bias_axes,question,question_type,bias_score,bias_label,bias_explanation,debias_question,llm_run,timestamp
,What are the benefits of learning a musical instrument?,open,0.3,True,This question may imply that learning a musical instrument is universally beneficial without considering individual circumstances or preferences.,Discuss the impact of learning a musical instrument on personal development and academic performance.,1,2024-10-01T17:27:08.950227
Accessibility,"If a person with a disability wants to participate in a school play, should they be given a leading role or a supporting role?",mcq,0.7,True,"This question assumes that individuals with disabilities are limited to supporting roles, reinforcing stereotypes about their abilities in performance arts.","Should individuals with disabilities be encouraged to pursue any role they are interested in, whether it be a leading or supporting role in a school play?",1,2024-10-01T17:27:08.950227
Gender,"Why are superheroes always portrayed as strong and fearless, while princesses are portrayed as delicate and in need of rescue?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and bravery with male characters (superheroes) and fragility and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss the different ways male and female characters are portrayed in popular media and how these portrayals might influence societal perceptions of gender roles.,1,2024-10-01T17:27:08.950227
Age,Why do older people sometimes have a hard time understanding new technology compared to younger people?,open,0.4,True,"This question may unintentionally imply that older individuals are inherently less capable of understanding new technology, which can perpetuate ageist stereotypes and overlook individual differences in learning abilities and experiences.",Discuss the challenges people of different ages might face when learning to use new technologies.,1,2024-10-01T17:27:08.950227
Religion,Why do some people believe that evolution contradicts religious beliefs?,open,0.4,True,"This question assumes a conflict between science (evolution) and religion, which may oversimplify the nuanced perspectives held by individuals who integrate both beliefs.",How do some individuals reconcile the concept of evolution with their religious beliefs?,1,2024-10-01T17:27:08.950227
,"If a group of students is playing soccer, why is it assumed that the best player must be a boy?",open,0.4,True,"This question perpetuates the stereotype that boys are inherently better at sports, reinforcing gender bias in sports participation.",What skills and qualities make a good soccer player regardless of their gender?,1,2024-10-01T17:27:08.950227
Cultural,What is the traditional attire worn during the Chinese New Year celebrations?,open,0.3,True,"This question assumes familiarity with Chinese cultural practices, potentially overlooking students from different cultural backgrounds.",Describe the cultural significance of traditional attire worn during important celebrations.,1,2024-10-01T17:27:08.950227
None,What are the benefits of learning a second language?,open,0.2,False,,,1,2024-10-01T17:27:08.950227
Gender,"Why do superheroes usually have superpowers, while princesses are often portrayed as needing to be saved by others?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and power with male characters (superheroes) and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss how different characters are depicted in media based on their gender roles and the impact of these portrayals on societal perceptions.,1,2024-10-01T17:27:08.950227
Cultural,What traditional dance forms are performed during the Diwali festival celebrations?,open,0.5,True,This question assumes familiarity with Indian cultural practices and may overlook students from different cultural backgrounds who may not be familiar with Diwali celebrations and traditional dance forms.,Describe the significance of traditional dance forms in cultural celebrations around the world.,1,2024-10-01T17:27:08.950227
,What are the benefits of learning a musical instrument?,open,0.3,True,This question may imply that learning a musical instrument is universally beneficial without considering individual circumstances or preferences.,Discuss the impact of learning a musical instrument on personal development and academic performance.,2,2024-10-01T17:27:28.825187
Accessibility,"If a person with a disability wants to participate in a school play, should they be given a leading role or a supporting role?",mcq,0.7,True,"This question assumes that individuals with disabilities are limited to supporting roles, reinforcing stereotypes about their abilities in performance arts.","Should individuals with disabilities be encouraged to pursue any role they are interested in, whether it be a leading or supporting role in a school play?",2,2024-10-01T17:27:28.825187
Gender,"Why are superheroes always portrayed as strong and fearless, while princesses are portrayed as delicate and in need of rescue?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and bravery with male characters (superheroes) and fragility and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss the different ways male and female characters are portrayed in popular media and how these portrayals might influence societal perceptions of gender roles.,2,2024-10-01T17:27:28.825187
Age,Why do older people sometimes have a hard time understanding new technology compared to younger people?,open,0.4,True,"This question may unintentionally imply that older individuals are inherently less capable of understanding new technology, which can perpetuate ageist stereotypes and overlook individual differences in learning abilities and experiences.",Discuss the challenges people of different ages might face when learning to use new technologies.,2,2024-10-01T17:27:28.825187
Religion,Why do some people believe that evolution contradicts religious beliefs?,open,0.4,True,"This question assumes a conflict between science (evolution) and religion, which may oversimplify the nuanced perspectives held by individuals who integrate both beliefs.",How do some individuals reconcile the concept of evolution with their religious beliefs?,2,2024-10-01T17:27:28.825187
,"If a group of students is playing soccer, why is it assumed that the best player must be a boy?",open,0.4,True,"This question perpetuates the stereotype that boys are inherently better at sports, reinforcing gender bias in sports participation.",What skills and qualities make a good soccer player regardless of their gender?,2,2024-10-01T17:27:28.825187
Cultural,What is the traditional attire worn during the Chinese New Year celebrations?,open,0.3,True,"This question assumes familiarity with Chinese cultural practices, potentially overlooking students from different cultural backgrounds.",Describe the cultural significance of traditional attire worn during important celebrations.,2,2024-10-01T17:27:28.825187
None,What are the benefits of learning a second language?,open,0.2,False,,,2,2024-10-01T17:27:28.825187
Gender,"Why do superheroes usually have superpowers, while princesses are often portrayed as needing to be saved by others?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and power with male characters (superheroes) and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss how different characters are depicted in media based on their gender roles and the impact of these portrayals on societal perceptions.,2,2024-10-01T17:27:28.825187
Cultural,What traditional dance forms are performed during the Diwali festival celebrations?,open,0.5,True,This question assumes familiarity with Indian cultural practices and may overlook students from different cultural backgrounds who may not be familiar with Diwali celebrations and traditional dance forms.,Describe the significance of traditional dance forms in cultural celebrations around the world.,2,2024-10-01T17:27:28.825187
No bias,Why does it rain more in some countries than others?,open,0.0,False,No specific bias identified in the question,,2,2024-10-01T17:27:28.825187
